taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note,sample
COVID_RNA_1_S16,B.1.1,NA,NA,NA,NA,NA,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.,COVID_RNA_1
2KFUCOV_36_S54_L002,B.1.1.274,NA,NA,NA,NA,NA,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.,2KFU_COV_36
COVID_RNA_2_S17,B.1.1,NA,NA,NA,NA,NA,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.,COVID_RNA_2
COVID_RNA_3_S18,B.1.1,NA,NA,NA,NA,NA,PANGO-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.,COVID_RNA_3
ICOV_013_SW1_S92,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_013
6219_S6,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6219
IG-101_S11_L001,B.1.1.214,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG-101
2KFUCOV_15_S87_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_15
KFU_COV_159_S75_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_159
5COV_071_SW7_S60_L002,B.1.1.194,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_071
ICOV_034_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_034
6220_S18,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6220
2KFUCOV_43_S43_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_43
ICOV_8621_S14_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8621
5COV_089_SW1_S47_L002,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_089
IG_161,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_161
63818_S62,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,63818
RCOV_072_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_072
3KFUCOV_4,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_4
FCOV_004_SW1_S18_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,FCOV_004
3KFU_COV_9,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_9
KFU_COV_174_S79_L001,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_174
5COV_047_SW1_S46,B.1.1,0,0.999913134120917,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_047
5COV_072_SW1_S92_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_072
IG_103_S11_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_103
2KFUCOV_40_S101_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_40
2KFUCOV_60,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_60
6836_S67,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6836
3KFUCOV_3,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_3
ICOV_045_SW1,B.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_045
2KFUCOV_17_S109_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_17
IG_101_S10_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_101
2KFUCOV_52,B.1.1.16,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_52
RCOV_070_SW1,B.1.1.16,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_070
2KFUCOV_37_S66_L002,B.1.1.397,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_37
RCOV_046_SW1,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_046
2KFUCOV_35_S42_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_35
IG_160,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_160
5COV_054_SW7_S82_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_054
3KFUCOV_5,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_5
FCOV_016_SW1_S49,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,FCOV_016
2KFUCOV_50,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_50
IG_285,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_285
IG_120,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_120
81610_S63,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,81610
ICOV_063_SW1,B.1.264,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_063
5COV_074_SW1_S23_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_074
63817_S50,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,63817
2KFUCOV_62,B.1.1.464,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_62
5COV_059_SW1_S90_L001,B.1.1.349,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_059
